,City,State,Average2018,Average2019,Average2020,2018-2019 changing rate,2019-2020 changing rate
61,New Haven, CT,1370.1666666666667,1407.8333333333333,1452.5,2.675506096839104,3.07515777395296
62,Bakersfield, CA,1156.3333333333333,1217.25,1276.125,5.00444992127063,4.61357625624449
63,Knoxville, TN,1185.4166666666667,1241.9166666666667,1279.0,4.549419579950345,2.899400573364602
64,Greenville, SC,1181.0,1226.0833333333333,1251.375,3.6770203221640667,2.0211101122099087
65,Ventura, CA,2531.0,2609.25,2657.25,2.998946057296158,1.8063787750493931
66,Allentown, PA,1287.5833333333333,1336.5,1376.25,3.6600573637610734,2.888283378746594
67,El Paso, TX,1070.9166666666667,1100.3333333333333,1140.125,2.6734322932444576,3.4901143880422536
68,Baton Rouge, LA,1187.25,1187.8333333333333,1200.25,0.049109022028897796,1.0345066999930632
69,Dayton, OH,929.0833333333334,969.8333333333334,1009.625,4.201752878501461,3.941232305724069
70,Columbia, SC,1086.6666666666667,1131.8333333333333,1171.375,3.9905757620379783,3.375662504890982
71,Greensboro, NC,1135.8333333333333,1186.75,1229.75,4.290429042904297,3.496645659686928
72,Akron, OH,824.5,846.4166666666666,877.5,2.5893472482032056,3.54226020892688
73,North Port-Sarasota-Bradenton, FL,1631.25,1682.6666666666667,1727.125,3.055665610142635,2.574123664085301
74,Little Rock, AR,867.3333333333334,887.8333333333334,911.5,2.3089919279143984,2.5964527335893175
75,Stockton, CA,1744.4166666666667,1841.5833333333333,1927.625,5.276256844201087,4.463610228476324
76,Charleston, SC,1484.4166666666667,1524.75,1553.375,2.645242389462749,1.8427617284944071
77,Syracuse, NY,983.8333333333334,1014.0,1067.375,2.9750164365548946,5.000585548659093
78,Colorado Springs, CO,1432.3333333333333,1507.25,1572.125,4.970420744180908,4.126580265564125
79,Winston-Salem, NC,1164.5,1220.75,1262.75,4.607823059594511,3.3260740447436152
80,Wichita, KS,786.1666666666666,801.25,822.875,1.8824752990119653,2.6279811636032204
81,Springfield, MA,1330.6666666666667,1371.3333333333333,1407.375,2.9654837141468047,2.5609142315777063
82,Fort Myers, FL,1483.1666666666667,1530.0833333333333,1568.0,3.0662817929306585,2.4181547619047667
83,Boise City, ID,1158.3333333333333,1241.0,1293.625,6.6612946548482475,4.068025896221857
84,Toledo, OH,844.8333333333334,864.0833333333334,887.125,2.22779438711544,2.597341599736974
85,Madison, WI,1240.3333333333333,1272.6666666666667,1297.25,2.540597171293883,1.895034367572423
86,Lakeland, FL,1278.5,1344.3333333333333,1399.0,4.897098933796176,3.9075530140576658
87,Ogden, UT,1196.5,1266.9166666666667,1315.875,5.558113530224303,3.72059149488616
88,Daytona Beach, FL,1322.9166666666667,1382.5,1434.0,4.30982519590114,3.5913528591352857
89,Des Moines, IA,1086.1666666666667,1101.8333333333333,1123.875,1.421872636514886,1.9612204797390052
90,Jackson, MS,1176.75,1192.75,1217.625,1.341437853699434,2.0429114053998565
91,Youngstown, OH,666.0,686.3333333333334,706.625,2.9626032054395393,2.871631582050823
92,Augusta, GA,1070.0833333333333,1108.3333333333333,1149.5,3.4511278195488724,3.5812672176308604
93,Scranton, PA,849.75,882.5,911.5,3.7110481586402266,3.1815688425671973
94,Harrisburg, PA,1085.75,1128.4166666666667,1153.125,3.781109223838718,2.1427280939476
95,Melbourne, FL,1358.8333333333333,1426.1666666666667,1483.0,4.721280822718253,3.832321870083159
96,Chattanooga, TN,1136.0,1181.4166666666667,1221.625,3.8442547788671853,3.291381015723586
97,Spokane, WA,1084.1666666666667,1143.75,1200.0,5.20947176684881,4.6875
98,Provo, UT,1252.9166666666667,1300.5,1325.0,3.6588491605792584,1.849056603773585
99,Durham, NC,1353.5,1411.8333333333333,1433.25,4.131743595797421,1.4942729228443565
100,Port St. Lucie, FL,1530.8333333333333,1602.25,1675.25,4.457273625630628,4.357558573347261
101,Fort Collins, CO,1566.9166666666667,1619.1666666666667,1647.25,3.226968605249614,1.70486163808367
102,Boulder, CO,1913.1666666666667,1970.75,1996.0,2.921899446065369,1.2650300601202404
103,Greeley, CO,1601.5,1663.0,1691.375,3.698135898977751,1.6776291478826397
104,Gainesville, GA,1274.5833333333333,1364.5833333333333,1411.25,6.595419847328245,3.306761145556545
